Sector_score,PARA_A,PARA_B,TOTAL,numbers,Money_Value,District,Loss,History,Risk
3.89,0,1.66,1.66,5,0.76,6,0,0,1
3.89,6.47,12.18,18.65,5,25.27,6,0,0,1
3.89,1.33,0,1.33,5,0.2,6,0,0,1
3.89,0,1.1,1.1,5,0,6,0,0,1
3.89,2.57,4.49,7.06,5,7.56,2,0,1,1
3.89,0,1.88,1.88,5,0,2,0,0,0
3.89,0.77,18.31,19.08,5,67.03,2,0,0,1
3.89,5.23,5.89,11.12,5,19.4,2,0,0,1
3.89,6.59,23.66,30.25,5,34.83,2,0,1,1
3.89,7.18,14.63,21.81,5,98.75,2,0,0,1
3.89,1,0,1,5,0.36,2,0,0,1
3.89,0,0.06,0.06,5,0,2,0,0,0
3.89,2.63,2.55,5.18,5,0,2,0,0,1
3.89,0,0.87,0.87,5,0,2,0,0,0
3.89,10.96,41.47,52.43,5,35.21,2,0,1,1
3.89,0,0.23,0.23,5,0,2,0,0,0
3.41,4.25,45.51,49.76,5.5,8.2,2,0,0,1
3.41,1.98,51.42,53.4,5.5,20.33,2,0,1,1
3.41,1.44,29.25,30.69,5,35.13,2,0,0,1
3.41,1.52,37.33,38.85,5.5,63.7,2,0,0,1
3.41,3.63,10.85,14.48,5,0.28,2,0,0,1
3.41,1.35,66.35,67.7,5.5,27.13,2,0,3,1
3.41,9.97,88.73,98.7,5,10.27,2,0,0,1
3.41,1.41,36.16,37.57,5,13.05,2,2,0,1
3.41,1.98,67.91,69.89,5.5,18.79,2,0,1,1
3.41,10.08,22.31,32.39,5.5,16.82,2,0,0,1
3.41,1.44,9.65,11.09,6.5,10.03,2,0,0,1
3.41,25.4,51.74,77.14,5,12.67,6,0,2,1
3.41,3.21,72.07,75.28,5,13.79,6,0,1,1
3.41,12.28,20.62,32.9,5,10.16,2,0,1,1
3.41,6.93,70.26,77.19,5,9.73,2,0,0,1
3.41,3.34,37.59,40.93,5,26.95,2,0,0,1
3.41,15.66,74.53,90.19,5,29.07,2,0,0,1
3.41,2.92,5.24,8.16,5,9.76,2,0,0,1
3.41,0.83,28.06,28.89,5,13.31,2,0,0,1
3.41,1.97,30.25,32.22,5,0.68,2,0,0,1
3.41,10,47.9,57.9,5,7.7,2,0,0,1
3.41,13.06,45.42,58.48,5,10.4,2,0,0,1
3.41,1.35,33.25,34.6,5.5,20.62,2,0,0,1
3.41,4.13,16.74,20.87,5,44.02,2,0,0,1
3.41,12.62,80.06,92.68,5.5,43.53,4,0,0,1
3.41,16.36,41.1,57.46,5,12.03,4,0,0,1
3.41,12.68,41,53.68,5.5,11.88,2,0,0,1
3.41,11.73,85.87,97.6,5,6.96,2,0,1,1
3.41,5.15,44.67,49.82,5.5,21.07,2,0,0,1
3.41,6.61,55.62,62.23,5,57.16,2,1,0,1
3.41,8.03,94.43,102.46,5.5,10.65,2,0,2,1
3.41,1.21,34.03,35.24,5,5.36,2,0,0,1
3.41,1.64,46.21,47.85,5,2.45,2,0,0,1
3.41,1.21,43.84,45.05,5.5,31.61,2,0,0,1
3.41,1.1,87.71,88.81,5.5,34.32,2,0,0,1
3.41,4.17,24.37,28.54,5,4.24,2,0,0,1
3.41,1.08,32.71,33.79,5,8.38,2,0,0,1
3.41,12.29,25.74,38.03,5,22.1,2,1,0,1
3.41,12.54,31.62,44.16,5,54.07,2,0,0,1
3.41,17.26,44.22,61.48,5,27.68,2,0,1,1
3.41,1.15,20.1,21.25,6,21.45,2,0,0,1
3.41,20.04,48.9,68.94,5,11.09,2,0,0,1
3.41,12.17,47,59.17,6,10.14,2,0,0,1
3.41,10.37,105.56,115.93,9,52.13,2,0,0,1
3.41,9.67,62.25,71.92,5.5,17.02,2,0,0,1
3.41,3.77,40.86,44.63,5,18,2,0,0,1
3.41,4.73,60.22,64.95,5,69.76,2,0,0,1
3.41,6.31,19.42,25.73,5.5,13.88,2,0,0,1
3.41,5.61,1.56,7.17,5,4.03,2,0,0,1
3.41,5.22,20.94,26.16,5,2.44,2,0,0,1
3.41,0.31,58.12,58.43,5,78.98,2,1,0,1
3.41,2.86,17.09,19.95,5.5,6.88,2,0,0,1
3.41,16.53,72.99,89.52,5,5.49,2,0,1,1
3.41,2.7,45.16,47.86,5,37.79,2,0,0,1
3.41,3.08,60.78,63.86,5,0.36,2,0,0,1
3.41,2,49.19,51.19,5,60.88,2,0,1,1
3.41,1.18,0,1.18,5.5,183.2,2,1,0,1
3.41,1.07,0,1.07,5,10.02,2,0,0,1
3.41,1.07,0,1.07,5,0,6,0,0,1
3.41,1.01,0,1.01,5,0,2,0,0,1
3.41,0.93,0,0.93,5,0,2,0,0,0
3.41,4.01,0,4.01,5,0,2,0,0,1
3.41,0.77,0,0.77,5,0.32,2,0,0,0
3.41,1.05,0,1.05,5,0,2,0,0,1
3.41,1.01,0,1.01,5,0.28,2,0,0,1
3.41,0.91,0,0.91,5,0,2,0,0,0
3.41,1.12,0,1.12,5,0,2,0,0,1
3.41,0.8,0,0.8,5,0.18,2,0,0,0
3.41,0.65,0,0.65,5,0,2,0,0,0
3.41,0.63,0,0.63,5,0,2,0,0,0
3.41,0.43,0,0.43,5,0,2,0,0,0
3.41,1.21,0,1.21,5,0,2,0,0,1
3.41,0.17,0,0.17,5,0,2,0,0,0
3.41,0,0,0,5,0,4,0,0,1
3.41,0,0,0,5,0,2,0,0,0
3.41,0.07,0,0.07,5,0,2,0,0,0
2.72,5.11,53.76,58.87,6,48.56,2,0,2,1
2.72,2.46,6.72,9.18,5,0,2,0,0,1
2.72,4.05,21.66,25.71,5.5,18.45,2,0,0,1
2.72,2.81,4.6,7.41,5,8.44,2,0,0,1
2.72,4.43,61.47,65.9,5.5,39.65,2,0,0,1
2.72,3.48,17.85,21.33,5,9.53,2,0,0,1
2.72,3.62,44.28,47.9,5,44.67,2,0,0,1
2.72,4.34,24.13,28.47,5,3.42,2,0,0,1
2.72,3.62,8.37,11.99,5,0,2,0,0,1
2.72,3.11,113.97,117.08,5.5,26.64,2,0,0,1
2.72,1.65,20.86,22.51,5,16.91,2,0,0,1
2.72,3.43,1.53,4.96,5,0,2,0,0,1
2.72,3.84,98.67,102.51,5,12.9,2,0,0,1
2.72,7.42,115.87,123.29,6,6.79,2,0,1,1
2.72,7.07,35.48,42.55,5,8.76,2,0,0,1
2.72,3.26,5.55,8.81,5,0.21,6,0,0,1
2.72,3.84,144.39,148.23,5,19.68,2,1,1,1
2.72,5.5,93.26,98.76,5,14.27,2,0,0,1
2.72,1.9,35.04,36.94,6.5,16.19,2,0,0,1
2.72,3.5,16.09,19.59,5,5.03,2,0,0,1
2.72,1.46,0.75,2.21,5,0.11,2,0,0,1
2.72,4.6,54.99,59.59,5,14.1,2,0,0,1
2.72,7.43,79.5,86.93,5,102.39,2,0,0,1
2.72,3.51,52.89,56.4,5,4.26,2,0,0,1
2.72,5.65,67.16,72.81,6,27.23,2,0,0,1
2.72,1.33,0.35,1.68,5,0,2,0,0,1
2.72,5.45,71.09,76.54,5.5,59.18,2,0,0,1
2.72,1.73,5.64,7.37,5,13.35,2,0,0,1
2.72,6.02,135.69,141.71,6,89.64,4,0,0,1
2.72,3.22,55.64,58.86,5,80.8,2,1,0,1
2.72,2.41,5.28,7.69,5,8.95,4,0,0,1
2.72,2.84,64.91,67.75,5.5,124.59,4,0,0,1
2.72,1.75,0.57,2.32,5,0,4,0,0,1
2.72,2.18,30.81,32.99,5,5.8,4,0,0,1
2.72,3.26,2.81,6.07,6,21.6,4,0,0,1
2.72,4.43,51.32,55.75,5.5,145.97,2,0,0,1
2.72,5.61,99.33,104.94,6.5,76.47,2,0,0,1
2.72,3.9,27.92,31.82,5,47.6,2,0,0,1
2.72,2.19,0.68,2.87,5,28.4,2,0,0,1
2.72,1.56,14.64,16.2,5,25.97,2,0,0,1
2.72,4.53,87.93,92.46,5,85.81,2,0,0,1
2.72,4.97,42.19,47.16,5.5,45.37,2,0,0,1
2.72,2.13,0.59,2.72,5,0.76,2,0,0,1
2.72,3.66,15.47,19.13,5,1.43,2,0,0,1
2.72,1.64,0.19,1.83,5,1.59,2,0,0,1
2.72,4.9,98.71,103.61,5.5,82.99,2,0,1,1
2.72,5.68,67.38,73.06,5,86.7,2,0,1,1
2.72,3.99,92.05,96.04,5,15.14,2,0,1,1
2.72,3.47,47.07,50.54,5,31.38,2,0,0,1
2.72,2.68,38.32,41,5,7.17,2,0,0,1
2.72,2.13,42.64,44.77,5,18.24,2,0,0,1
2.72,4.28,1264.63,1268.91,5.5,58.86,6,0,2,1
2.72,4.36,33.91,38.27,5.5,6.06,6,1,0,1
2.72,2.23,4.54,6.77,5,22.8,6,0,0,1
2.72,2,0.32,2.32,5,5.37,2,0,0,1
2.72,3.04,67.37,70.41,6.5,77.47,2,0,0,1
2.72,1.19,122.07,123.26,5,15.2,2,0,0,1
2.72,1.35,0,1.35,6,680.14,2,0,0,1
2.72,1.14,0,1.14,5,0.71,2,0,0,1
2.72,1.51,0,1.51,5,0,2,0,0,1
2.72,1.13,0,1.13,5,0,2,0,0,1
2.72,1.5,0,1.5,5,1.44,2,0,0,1
2.72,0.96,0,0.96,5,0,2,0,0,0
2.72,1.6,0,1.6,5,0,2,0,0,1
2.72,1.34,0,1.34,5,0,4,0,0,1
2.72,1.6,0,1.6,5,0.06,2,0,0,1
2.72,1.13,0,1.13,5,0.02,2,0,0,1
2.72,0,0,0,5,0,2,0,0,0
2.72,0,0,0,5,0,2,0,0,0
2.72,0.77,0,0.77,5,4.6,2,0,0,0
2.72,1.05,0,1.05,5,0,2,0,0,1
2.72,0,0,0,5,0,2,0,0,0
2.72,0,0,0,5,30.85,2,0,0,1
2.72,0,0,0,5,0,4,0,0,1
2.72,0,0,0,5,0,2,0,0,0
2.72,0,0,0,5,0,2,0,0,0
2.72,0.84,0,0.84,5,8.21,2,0,0,1
2.72,0,0,0,5,0,2,0,0,0
2.72,0.85,0,0.85,5,0,2,0,0,0
2.72,0,0.28,0.28,5,0,2,0,0,0
2.72,0.61,0.07,0.68,5,0,2,0,0,0
2.72,0,0.62,0.62,5,0,2,0,0,0
2.37,3.43,1,4.43,5.5,49.31,2,1,1,1
2.37,1.63,5.86,7.49,5,3.69,2,0,0,1
2.37,3.75,1.25,5,6,11.25,6,0,0,1
2.37,2.29,2.64,4.93,5,3.08,2,0,0,1
2.37,2.51,8.59,11.1,5.5,16.03,2,0,5,1
2.37,2.21,5.21,7.42,5,3.43,2,0,0,1
2.37,2.22,6.23,8.45,5,0.89,2,0,0,1
2.37,1.67,0.39,2.06,5,1.43,2,0,0,1
2.37,2.59,0.66,3.25,5,1.28,2,0,0,1
2.37,2.39,7.72,10.11,5,5.42,2,0,1,1
2.37,3.42,10.55,13.97,5,6.96,2,0,0,1
2.37,3.61,2.13,5.74,5,5.41,2,1,2,1
2.37,1.86,4.51,6.37,5,7.27,2,0,0,1
2.37,1.9,7.97,9.87,5,8.6,2,0,1,1
2.37,3.29,6.41,9.7,5,3.66,2,0,0,1
2.37,2.6,1.14,3.74,5,8.76,2,0,1,1
2.37,3.81,11.52,15.33,5,3.25,4,0,0,1
2.37,2.1,5.06,7.16,5,5.41,2,0,0,1
2.37,2.22,3.4,5.62,5,26.28,2,0,1,1
2.37,0.96,0.12,1.08,5,0.22,2,0,0,0
2.37,0.81,4.6,5.41,5,1.82,2,0,0,1
2.37,1.25,0.02,1.27,5,0.82,2,0,0,1
2.37,1.65,0.02,1.67,5,27.99,2,0,0,1
2.37,1.65,0.02,1.67,5,2.47,2,0,0,1
2.37,2.13,0.11,2.24,5,7.54,2,0,0,1
2.37,0.44,0.02,0.46,5,27.1,6,0,0,1
2.37,1.31,0.12,1.43,5.5,0,6,0,0,1
2.37,0.39,0.14,0.53,5,0.58,2,0,0,0
2.37,1,1.1,2.1,5,0,2,0,0,1
2.37,0.42,0.27,0.69,5,0,2,0,0,0
2.37,1.07,0.59,1.66,5,0,2,0,0,1
2.37,1.29,0.25,1.54,5,0,2,0,0,1
2.37,0.02,0.87,0.89,5,0.04,2,0,0,0
2.37,1.46,0.55,2.01,5,0.67,2,0,0,1
2.37,0.84,0.06,0.9,5,0.72,2,0,0,0
2.37,0.66,1.37,2.03,5,0.84,4,0,0,1
2.37,0.53,5.4,5.93,5,0.72,2,0,0,1
2.37,0.39,0.47,0.86,5,0,2,0,0,0
2.37,0.51,0.47,0.98,5,0,2,0,0,0
2.37,0.47,0.29,0.76,5,0.07,2,0,0,0
2.37,3.35,0.99,4.34,5,0.12,2,0,0,1
2.37,0.32,0.49,0.81,5,6.73,6,0,0,1
2.37,0.51,0,0.51,5,0,6,0,0,1
2.37,0,0,0,5,0.05,2,0,0,0
2.37,0.31,0.69,1,5,0,2,0,0,0
2.37,0.61,1.54,2.15,5,0.57,2,0,0,1
2.37,0.26,0.17,0.43,5,0,2,0,0,0
2.37,0.73,0.05,0.78,5,6.14,6,0,0,1
2.37,0,0,0,5,0,6,0,0,1
2.37,1.27,1.01,2.28,5,1.15,2,0,0,1
2.37,1.62,0.49,2.11,5,0,2,0,0,1
2.37,1.54,0.46,2,5,0.57,2,0,0,1
2.37,2.18,0.93,3.11,5,0,6,0,0,1
2.37,7.59,1.47,9.06,5.5,36.29,6,0,0,1
2.37,0.76,0.34,1.1,5,0,6,0,0,1
2.37,0.38,0.85,1.23,5,0.04,2,0,0,0
2.37,1.29,0.13,1.42,5,0,2,0,0,1
2.37,1.99,0.63,2.62,5,0,2,0,0,1
2.37,0,0,0,5,0,2,0,0,0
2.37,0.02,0.05,0.07,5,0,2,0,0,0
2.37,0.14,0.08,0.22,5,0,2,0,0,0
2.37,0.09,0,0.09,5,0,2,0,0,0
2.37,0,0,0,5,0,2,0,0,0
2.37,0,0,0,5,0,2,0,0,0
2.37,0.01,0.007,0.017,5,0,2,0,0,0
2.37,0.17,0.04,0.21,5,0,2,0,0,0
2.37,1.66,0.83,2.49,5,0.31,6,0,0,1
2.37,0.5,0.04,0.54,5,0,6,0,0,1
2.37,0.9,0.29,1.19,5,1.22,6,0,0,1
2.37,0,0,0,5,0.23,6,0,0,1
1.99,57.03,134.33,191.36,5,844.37,2,0,0,1
1.99,0.58,0,0.58,5,0,2,0,0,0
1.99,1.52,0,1.52,5,6.96,2,0,0,1
1.99,0.9,0,0.9,5,1.95,2,0,0,0
1.99,1.19,0,1.19,5,0,2,0,0,1
1.99,0.53,0,0.53,5,2.33,2,0,0,0
1.99,0.93,0,0.93,5,0.11,2,0,0,0
1.99,1.89,0,1.89,5,0,2,0,0,1
1.99,1.71,0,1.71,5,0.09,2,0,0,1
1.99,0.3,0,0.3,5,0,2,0,0,0
1.99,0.76,0,0.76,5,7.48,2,0,0,1
1.99,0.96,0,0.96,5,9.45,2,0,0,1
1.99,1.26,0,1.26,5,0,2,0,0,1
1.99,0.55,0,0.55,5,0.67,2,0,0,0
1.99,0.29,0,0.29,5,0.06,2,0,0,0
1.99,1.27,0,1.27,5,2.77,2,0,0,1
1.99,1.34,0,1.34,5,0,2,0,0,1
1.99,0.56,0,0.56,5,1.75,2,0,0,0
1.99,0.86,0,0.86,5,0,6,0,0,1
1.99,1.62,0,1.62,5,0,6,0,0,1
1.99,3.02,0,3.02,5,0,6,0,0,1
1.99,0.59,0,0.59,5,0,6,0,0,1
1.99,1.1,0,1.1,5,0,2,0,0,1
1.99,1.03,0,1.03,5,27.28,2,0,0,1
1.99,0.66,0,0.66,5,0.73,2,0,0,0
1.99,0.48,0,0.48,5,0.47,2,0,0,0
1.99,1.27,0,1.27,5,175.9,2,0,0,1
1.99,0.43,0,0.43,5,13.54,2,0,0,1
1.99,1.65,0,1.65,5,0.01,2,0,0,1
1.99,1.4,0,1.4,5,0,2,0,0,1
1.99,1.14,0,1.14,5,41.82,2,0,0,1
1.99,0.45,0,0.45,5,0,2,0,0,0
1.99,0.6,0,0.6,5,0,2,0,0,0
1.99,0.85,0,0.85,5,0,2,0,0,0
1.99,1.19,0,1.19,5,29.76,2,0,0,1
1.99,1.23,0,1.23,5,0.11,2,0,0,1
1.99,1.12,0,1.12,5,0.05,2,0,0,1
1.99,1.53,0,1.53,5,0.03,4,0,0,1
1.99,0.77,0,0.77,5,0,4,0,0,1
1.99,0.56,0,0.56,5,0,4,0,0,1
1.99,1.82,0,1.82,5,85.13,4,0,0,1
1.99,0.44,0,0.44,5,0.04,4,0,0,1
1.99,1.46,0,1.46,5,0,2,0,0,1
1.99,1.12,0,1.12,5,10.98,2,0,0,1
1.99,1.56,0,1.56,5,0.1,2,0,0,1
1.99,0,0,0,5,0,2,0,0,0
1.99,0,0,0,5,0,2,0,0,0
1.85,11.24,9.49,20.73,5.5,173.02,2,0,0,1
1.85,3.7,0,3.7,5,0.12,2,0,0,1
1.85,8.53,0.16,8.69,5,0.52,2,1,0,1
1.85,0.47,1.59,2.06,5,1.24,2,0,0,1
1.85,0.95,1.33,2.28,5,0.07,4,0,0,1
1.85,13.15,1.63,14.78,5,1.19,4,0,0,1
1.85,3.17,0.44,3.61,5,0,4,0,0,1
1.85,7.02,1.77,8.79,5,0,4,0,0,1
1.85,0,0,0,5,0,2,0,0,0
1.85,0.95,0,0.95,5,0.13,4,1,0,1
1.85,0,0,0,5,10.53,4,0,0,1
1.85,9.19,4.2,13.39,5,0.52,2,0,0,1
1.85,9.14,1.22,10.36,5,0,6,0,0,1
1.85,0.26,0,0.26,5,0,2,0,0,0
1.85,3.05,0.05,3.1,5,0,2,0,0,1
1.85,0.56,72,72.56,5,0.51,2,0,0,1
1.85,2.96,0.15,3.11,5,0,2,0,0,1
1.85,2.48,0,2.48,5,0,2,0,0,1
1.85,9.94,0.44,10.38,5,0.15,2,0,0,1
1.85,5.13,0.09,5.22,5,0.01,2,0,0,1
1.85,2.49,0.29,2.78,5,0.49,2,0,0,1
1.85,7.22,0.28,7.5,5,0,2,0,0,1
1.85,0.71,0.66,1.37,5,0,2,0,0,0
1.85,19.21,2.47,21.68,5,0,6,0,0,1
1.85,0.18,0,0.18,5,0,6,1,0,1
1.85,5.9,0,5.9,5,0.74,6,1,0,1
1.85,4.04,0,4.04,5,0.79,6,0,0,1
1.85,2.81,0.11,2.92,5,19.45,6,0,0,1
1.85,5.87,0,5.87,5,0.44,6,0,0,1
1.85,1.75,0,1.75,5,0.35,6,0,0,1
1.85,2.05,0,2.05,5,3.53,6,0,0,1
1.85,0,0,0,5,0.04,6,1,0,1
1.85,3.67,0.18,3.85,5,0,2,0,0,1
1.85,0.64,0.95,1.59,5,0,2,0,1,1
1.85,7.37,1.64,9.01,5,0.08,2,0,0,1
1.85,10.79,0.67,11.46,5,0.04,2,0,0,1
1.85,10.02,0.95,10.97,5,0.43,2,0,0,1
1.85,0.44,0.62,1.06,5,0.64,2,0,0,0
1.85,2.89,0.11,3,5,0.04,2,0,0,1
1.85,0.6,1.14,1.74,5,0.43,2,0,0,1
1.85,0.79,1.01,1.8,5,0.57,2,0,0,1
1.85,3.26,0.36,3.62,5,0.02,2,0,0,1
1.85,8.94,1.32,10.26,5,0.02,2,0,0,1
1.85,4.6,1.17,5.77,5,0.04,2,0,0,1
1.85,7.01,1.12,8.13,5,0.1,2,0,0,1
1.85,1.04,0.91,1.95,5,0.37,2,0,0,1
1.85,2.81,0.41,3.22,5,0,2,0,0,1
1.85,0.7,0.6,1.3,5,0.51,2,0,0,0
1.85,0.78,0.97,1.75,5,0.97,2,0,0,0
1.85,7.09,1.95,9.04,5,0,2,0,0,1
1.85,1.39,1.1,2.49,5,0,2,0,0,1
1.85,2.46,0.37,2.83,5,0,2,0,0,1
1.85,2.48,0.1,2.58,5,0,2,0,0,1
1.85,1.28,1.75,3.03,5,0,2,0,0,1
1.85,3.83,0.28,4.11,5,0,2,0,0,1
1.85,3.74,0.55,4.29,5,0,2,0,0,1
1.85,11.44,1.41,12.85,5,0.04,2,0,0,1
1.85,4.99,0.64,5.63,5,0,2,0,0,1
1.85,8.25,1.59,9.84,5,0.02,2,0,0,1
1.85,0.25,1.8,2.05,5,0.74,2,0,0,1
1.85,7.2,0.43,7.63,5,0.01,2,0,0,1
1.85,0.73,1.24,1.97,5,0.2,2,0,0,1
1.85,5.2,0,5.2,5,0,2,0,0,1
1.85,1.16,0,1.16,5,0.11,6,0,0,1
1.85,0,0,0,5,0.19,6,0,0,1
1.85,0.65,0.03,0.68,5,0.14,2,0,0,0
1.85,0.79,0,0.79,5,3.54,2,0,0,0
1.85,3.28,0.25,3.53,5,0.04,6,0,0,1
1.85,0.9,0,0.9,5,0.13,6,0,0,1
1.85,5,0.54,5.54,5,0,2,0,0,1
1.85,7.07,0.72,7.79,5,0,2,0,0,1
1.85,1.08,1.98,3.06,5,3.92,2,0,0,1
1.85,3.46,0.09,3.55,5,0.06,2,0,0,1
1.85,0.6,1.08,1.68,5,0.33,2,0,0,1
1.85,3.92,1.08,5,5,0,2,0,0,1
1.85,7.84,2.81,10.65,5,0,2,1,0,1
1.85,0.99,0,0.99,5,0,4,0,0,1
1.85,0.17,0.11,0.28,5,0,2,0,0,0
1.85,45.23,36.18,81.41,5,0,6,0,0,1
1.85,1.69,0.21,1.9,5,0,2,0,0,1
1.85,0.18,0.63,0.81,5,0,2,0,0,0
1.85,0.01,0.91,0.92,5,0,2,0,0,0
1.85,0.88,1.5,2.38,5,0.19,2,0,0,1
1.85,1.17,0.15,1.32,5,0,2,0,0,1
1.85,0,0,0,5,0,4,0,0,1
1.85,0,0,0,5,0,2,0,0,0
1.85,0,0,0,5,0.2,4,0,0,1
1.85,0,0,0,5,0,2,0,0,0
1.85,0,0,0,5,0,6,0,0,1
1.85,0.99,0.11,1.1,5,0,6,0,0,1
1.85,0.21,0,0.21,5,0,2,0,0,0
1.85,2.2,0.28,2.48,5,0,2,0,0,1
1.85,3.31,0.17,3.48,5,0,2,0,0,1
1.85,2.43,0.27,2.7,5,0,2,0,0,1
1.85,13.91,0.5,14.41,5,0.19,2,0,0,1
2.36,1.71,0,1.71,6.5,88.4,6,0,4,1
2.37,1.13,3.85,4.98,6.5,20.89,6,0,0,1
2.37,17.53,0,17.53,6.5,94.75,6,0,4,1
